entity_id	business_name	business_address	country
S1-1001	Amazon India Private Limited	Plot 7, Bandra Kurla Complex, Mumbai, Maharashtra 400051	India
S1-1002	Microsoft Corporation India Pvt Ltd	DLF Cyber City, Phase 2, Gurugram, Haryana 122002	India
S1-1003	Tata Consultancy Services Limited	Nirmal Building, Nariman Point, Mumbai 400021	India
S1-1004	Reliance Industries Limited	Maker Chambers IV, 222 Nariman Point, Mumbai 400021	India
S1-1005	Google LLC	1600 Amphitheatre Parkway, Mountain View, CA 94043	US
S1-1006	Apple Inc.	One Apple Park Way, Cupertino, CA 95014	US
S1-1007	Infosys Limited	Electronics City, Hosur Road, Bengaluru, Karnataka 560100	India
S1-1008	Walmart Inc.	702 SW 8th Street, Bentonville, AR 72716	US
S1-1009	HDFC Bank Limited	HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai 400013	India
S1-1010	Tesla Inc.	1 Tesla Road, Austin, TX 78725	US
