entity_id	business_name	business_address	country
S3-3001	Amzon Development Centre	Bandra Kurla Complex, Mumbai 400051	India
S3-3002	Microsoft India	DLF Cybercity Gurugram HR	India
S3-3003	Tata Consultancy Services	Nirmal Bldg Nariman Point Mumbai	India
S3-3004	RIL Corp	Maker Chambers 4 Nariman Pt	India
S3-3005	Google LLC Head Office	Mountain View California 94043	US
S3-3006	Apple Inc Headquaters	Cupertino CA 95014	US
S3-3007	Infosys Tech Ltd	Hosur Rd Hosur Main Rd Bangalore	India
S3-3008	Walmart Inc HQ	702 SW 8th St Bentonville AR	US
S3-3009	HDFC Bank HQ	Senapati Bapat Marg Mumbai	India
S3-3010	Tesla Motors	1 Tesla Rd Austin TX	US
